,return,volatility,sharpe
69,0.28843857804265294,0.2728703174022756,0.9837588074737743
70,0.2886733615906089,0.2730016775562128,0.984145460187831
71,0.28890814513856483,0.2731348772268305,0.9845251103367678
72,0.2891429286865207,0.27326991372422743,0.9848977701882267
73,0.28937771223447667,0.27340678432675963,0.9852634523967493
74,0.28961249578243264,0.27354548628130093,0.9856221700005541
75,0.2898472793303885,0.2736860168035062,0.9859739364182653
76,0.2900820628783444,0.27382837307807667,0.986318765445595
77,0.2903168464263004,0.27397255225902684,0.9866566712519794
78,0.2905516299742563,0.2741185514699537,0.986987668377168
79,0.29078641352221224,0.27426636780430746,0.9873117717277744
80,0.2910211970701681,0.27441599832566477,0.9876289965737789
81,0.2912559806181241,0.27456744006800304,0.9879393585449942
82,0.29149076416608005,0.27472069003597677,0.9882428736274878
83,0.291725547714036,0.27487574520519553,0.9885395581599683
84,0.29196033126199195,0.2750326025225037,0.9888294288301315
85,0.29219511480994786,0.2751912589062614,0.9891125026709728
86,0.2924298983579039,0.27535171124662744,0.9893887970570607
87,0.29266468190585976,0.27551395640584303,0.9896583297007786
88,0.29289946545381573,0.27567799121851755,0.9899211186485344
89,0.2931342490017716,0.2758438124919152,0.9901771822769342
90,0.29336903254972757,0.2760114170062432,0.9904265392889313
91,0.29360381609768355,0.2761808015149411,0.9906692087099394
92,0.2938385996456394,0.27635196274497104,0.9909052098839223
93,0.2940733831935954,0.27652489739710967,0.9911345624694555
94,0.2943081667415513,0.27669960214624045,0.9913572864357598
95,0.29454295028950717,0.2768760736416476,0.9915734020587125
96,0.29477773383746314,0.2770543085073105,0.991782929916835
97,0.29501251738541917,0.2772343033421991,0.991985890887256
98,0.29524730093337503,0.27741605472057046,0.9921823061416545
99,0.295482084481331,0.27759955919226564,0.992372197142186
